STATION_NUMBER,STATION_NAME,PROV_TERR_STATE_LOC,HYD_STATUS,REAL_TIME,LATITUDE,LONGITUDE,station_tz,standard_offset,OlsonName
01AD003,ST. FRANCIS RIVER AT OUTLET OF GLASIER LAKE,NB,ACTIVE,TRUE,47.20661,-68.95694,America/Moncton,-4,Etc/GMT+4
01AD004,SAINT JOHN RIVER AT EDMUNDSTON,NB,ACTIVE,TRUE,47.36078,-68.32489,America/Moncton,-4,Etc/GMT+4
01AF002,SAINT JOHN RIVER AT GRAND FALLS,NB,ACTIVE,TRUE,47.03889,-67.73972,America/Moncton,-4,Etc/GMT+4
01AF007,GRANDE RIVIERE AT VIOLETTE BRIDGE,NB,ACTIVE,TRUE,47.24697,-67.92128,America/Moncton,-4,Etc/GMT+4
01AF009,IROQUOIS RIVER AT MOULIN MORNEAULT,NB,ACTIVE,TRUE,47.45783,-68.35683,America/Moncton,-4,Etc/GMT+4
01AG003,AROOSTOOK RIVER NEAR TINKER,NB,ACTIVE,TRUE,46.81636,-67.75197,America/Moncton,-4,Etc/GMT+4
01AH002,TOBIQUE RIVER AT RILEY BROOK,NB,ACTIVE,TRUE,47.17303,-67.21081,America/Moncton,-4,Etc/GMT+4
01AJ003,MEDUXNEKEAG RIVER NEAR BELLEVILLE,NB,ACTIVE,TRUE,46.21622,-67.72794,America/Moncton,-4,Etc/GMT+4
01AJ004,BIG PRESQUE ISLE STREAM AT TRACEY MILLS,NB,ACTIVE,TRUE,46.43836,-67.73844,America/Moncton,-4,Etc/GMT+4
01AJ010,BECAGUIMEC STREAM AT COLDSTREAM,NB,ACTIVE,TRUE,46.34089,-67.46511,America/Moncton,-4,Etc/GMT+4
01AK001,SHOGOMOC STREAM NEAR TRANS CANADA HIGHWAY,NB,ACTIVE,TRUE,45.94353,-67.32036,America/Moncton,-4,Etc/GMT+4
01AK003,SAINT JOHN RIVER AT FREDERICTON,NB,ACTIVE,TRUE,45.96619,-66.65161,America/Moncton,-4,Etc/GMT+4
01AK006,MIDDLE BRANCH NASHWAAKSIS STREAM AT SANDWITH'S FARM,NB,ACTIVE,TRUE,46.08281,-66.73303,America/Moncton,-4,Etc/GMT+4
01AK007,NACKAWIC STREAM NEAR TEMPERANCE VALE,NB,ACTIVE,TRUE,46.04878,-67.23961,America/Moncton,-4,Etc/GMT+4
01AL002,NASHWAAK RIVER AT DURHAM BRIDGE,NB,ACTIVE,TRUE,46.12592,-66.61131,America/Moncton,-4,Etc/GMT+4
01AL004,NARROWS MOUNTAIN BROOK NEAR NARROWS MOUNTAIN,NB,ACTIVE,TRUE,46.27717,-67.02139,America/Moncton,-4,Etc/GMT+4
01AM001,NORTH BRANCH OROMOCTO RIVER AT TRACY,NB,ACTIVE,TRUE,45.67378,-66.68289,America/Moncton,-4,Etc/GMT+4
01AN002,SALMON RIVER AT CASTAWAY,NB,ACTIVE,TRUE,46.29072,-65.72275,America/Moncton,-4,Etc/GMT+4
01AO002,SAINT JOHN RIVER AT MAUGERVILLE,NB,ACTIVE,TRUE,45.86647,-66.45317,America/Moncton,-4,Etc/GMT+4
01AO003,GRAND LAKE AT NEWCASTLE CREEK,NB,ACTIVE,TRUE,46.0564,-66.0057,America/Moncton,-4,Etc/GMT+4
01AO004,JEMSEG RIVER AT JEMSEG,NB,ACTIVE,TRUE,45.82892,-66.11542,America/Moncton,-4,Etc/GMT+4
01AO010,FRENCH LAKE AT LAKEVILLE CORNER,NB,ACTIVE,TRUE,45.90883,-66.25644,America/Moncton,-4,Etc/GMT+4
01AO011,SAINT JOHN RIVER AT UPPER GAGETOWN,NB,ACTIVE,TRUE,45.84725,-66.23486,America/Moncton,-4,Etc/GMT+4
01AO012,SAINT JOHN RIVER AT GAGETOWN,NB,ACTIVE,TRUE,45.76867,-66.14036,America/Moncton,-4,Etc/GMT+4
01AP002,CANAAN RIVER AT EAST CANAAN,NB,ACTIVE,TRUE,46.07236,-65.36639,America/Moncton,-4,Etc/GMT+4
01AP003,SAINT JOHN RIVER AT OAK POINT,NB,ACTIVE,TRUE,45.51942,-66.07661,America/Moncton,-4,Etc/GMT+4
01AP004,KENNEBECASIS RIVER AT APOHAQUI,NB,ACTIVE,TRUE,45.70139,-65.60169,America/Moncton,-4,Etc/GMT+4
01AP005,SAINT JOHN RIVER AT SAINT JOHN,NB,ACTIVE,TRUE,45.27339,-66.08889,America/Moncton,-4,Etc/GMT+4
01AP006,NEREPIS RIVER NEAR FOWLERS CORNER,NB,ACTIVE,TRUE,45.50344,-66.31897,America/Moncton,-4,Etc/GMT+4
01AQ001,LEPREAU RIVER AT LEPREAU,NB,ACTIVE,TRUE,45.16978,-66.46828,America/Moncton,-4,Etc/GMT+4
01AQ002,MAGAGUADAVIC RIVER AT ELMCROFT,NB,ACTIVE,TRUE,45.27333,-66.80667,America/Moncton,-4,Etc/GMT+4
01AQ007,MAGAGUADAVIC LAKE NEAR UPPER MAGAGUADAVIC,NB,ACTIVE,TRUE,45.71975,-67.18356,America/Moncton,-4,Etc/GMT+4
01AR006,DENNIS STREAM NEAR ST. STEPHEN,NB,ACTIVE,TRUE,45.20972,-67.2625,America/Moncton,-4,Etc/GMT+4
